ID,Title,Company,Link,Technologies
111,Data Engineer,Data Science UA,https://jobs.dou.ua/companies/data-science-ua/vacancies/295131/,"airflow, dbt, etl, great_expectations, python, sql"
112,Senior Data Engineer,Softsich,https://jobs.dou.ua/companies/softsich/vacancies/290638/,"aws, etl, great_expectations, kafka, nosql, postgresql, python, sql"
113,Senior Data Engineer,inVerita,https://jobs.dou.ua/companies/inveritasoft/vacancies/305717/,"aws, azure, dbt, etl, python, snowflake"
114,Lead Data Engineer,Edvantis,https://jobs.dou.ua/companies/edvantis/vacancies/305617/,"azure, etl, snowflake"
115,Data Engineer,LetyShops,https://jobs.dou.ua/companies/letyshops/vacancies/270376/,"airflow, dbt, docker, etl, gcp, kafka, kubernetes, python, sql, terraform"
116,Інженер-технолог,Athlon Avia,https://jobs.dou.ua/companies/athlon-avia-unmanned-solutions/vacancies/283376/,python
117,Data Engineer,Growe,https://jobs.dou.ua/companies/growe/vacancies/301657/,"airflow, aws, data_lake, dbt, etl, metrics, python, sql, terraform"
118,Data Engineer,Web Legends,https://jobs.dou.ua/companies/web-legends/vacancies/305524/,"aws, azure, ci_cd, etl, gcp, nosql, postgresql, python, sql"
119,Middle Software Developer (Data Integration/Data Engineer),LeanyLabs,https://jobs.dou.ua/companies/leanylabs/vacancies/295861/,"azure, etl, sql"
120,Big Data Engineer,IT SmartFlex,https://jobs.dou.ua/companies/it-smartflex/vacancies/250643/,"etl, hadoop, nosql, python, spark, sql"
121,Apache NiFi Developer,WiserBrand,https://jobs.dou.ua/companies/wiserbrand/vacancies/305404/,"apache_nifi, aws, azure, docker, etl, gcp, kubernetes, metrics, python"
122,ETL Developer,UKRSIBTECH,https://jobs.dou.ua/companies/ukrsibbank/vacancies/264292/,"etl, sql"
123,Technical Lead DataPython Engineer (#2328),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293067/,"airflow, aws, azure, ci_cd, dbt, etl, gcp, postgresql, python, sql, terraform"
124,Data Engineer (Python/Databricks),Softermii,https://jobs.dou.ua/companies/softermii/vacancies/305245/,"airflow, aws, azure, ci_cd, data_lake, delta_lake, etl, great_expectations, metrics, python, spark, sql"
125,Data Engineer,Ajax Systems,https://jobs.dou.ua/companies/ajax-systems/vacancies/305217/,"aws, elastic, etl, nosql, postgresql, python, sql"
126,Data Operations Analyst (#3413),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/252153/,"azure, great_expectations, python, sql"
127,Senior Data QA Engineer (#3238),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/249488/,"aws, ci_cd, etl, gcp, great_expectations, kafka, postgresql, python, snowflake, sql"
128,Тестувальник якості даних data-продукту (Data Quality Engineer),Державна служба статистики України,https://jobs.dou.ua/companies/ukrstat/vacancies/296906/,"etl, great_expectations, jupyter, python, sql"
